"Type"	"Sex"	"Speaker"	"Vowel"	"F0"	"F1"	"F2"	"F3"	"IPA"
"260"	"m"	"m"	26	"er"	120	480	1466.5	1718.5	"ɚ"
"261"	"m"	"m"	27	"iy"	137	272.5	2040	2795	"i"
"262"	"m"	"m"	27	"ih"	134.5	344.5	1985	2660	"ɪ"
"263"	"m"	"m"	27	"eh"	123.5	412	1800	2470	"ɛ"
"264"	"m"	"m"	27	"ae"	123.5	674	1585	2340	"æ"
"265"	"m"	"m"	27	"ah"	129	557.5	1153.5	2280	"ʌ"
"266"	"m"	"m"	27	"aa"	125	691	1052	2275	"ɑ"
"267"	"m"	"m"	27	"ao"	125.5	550	901.5	2320	"ɔ"
"268"	"m"	"m"	27	"uh"	134	375	1044	2155	"ʊ"
"269"	"m"	"m"	27	"uw"	136.5	287	965	2105	"u"
"270"	"m"	"m"	27	"er"	127.5	460	1205	1572.5	"ɚ"
"271"	"m"	"m"	28	"iy"	129	293.5	2195	2950	"i"
"272"	"m"	"m"	28	"ih"	115.5	415	1765	2425	"ɪ"
"273"	"m"	"m"	28	"eh"	113.5	522.5	1775	2435	"ɛ"
"274"	"m"	"m"	28	"ae"	115.5	690	1640	2415	"æ"
"275"	"m"	"m"	28	"ah"	121	587.5	1210	2270	"ʌ"
"276"	"m"	"m"	28	"aa"	114	795	1220	2405	"ɑ"
"277"	"m"	"m"	28	"ao"	115	572	825	2285	"ɔ"
"278"	"m"	"m"	28	"uh"	125	455.5	1005	2089	"ʊ"
"279"	"m"	"m"	28	"uw"	126.5	358	796	2094	"u"
"280"	"m"	"m"	28	"er"	114.5	461	1425	1855	"ɚ"
"281"	"m"	"m"	29	"iy"	132	329.5	2282.5	3115	"i"
"282"	"m"	"m"	29	"ih"	129	387.5	2169	2715	"ɪ"
"283"	"m"	"m"	29	"eh"	137.5	490	1965	2410	"ɛ"
"284"	"m"	"m"	29	"ae"	119.5	627.5	1715	2335	"æ"
"285"	"m"	"m"	29	"ah"	116.5	595.5	1115	2530	"ʌ"
"286"	"m"	"m"	29	"aa"	112.5	763.5	1172.5	2710	"ɑ"
"287"	"m"	"m"	29	"ao"	109.5	601	907.5	2589.5	"ɔ"
"288"	"m"	"m"	29	"uh"	132.5	429	956.5	2300	"ʊ"
"289"	"m"	"m"	29	"uw"	136.5	326.5	820	2140	"u"
"290"	"m"	"m"	29	"er"	123.5	481.5	1327.5	1857	"ɚ"
"291"	"m"	"m"	30	"iy"	161	243.5	2300	2920	"i"
"292"	"m"	"m"	30	"ih"	154.5	395.5	2025	2430	"ɪ"
"293"	"m"	"m"	30	"eh"	165	552.5	1975	2475	"ɛ"
"294"	"m"	"m"	30	"ae"	140.5	595	1975	2515	"æ"
"295"	"m"	"m"	30	"ah"	171.5	630	1155	2240	"ʌ"
"296"	"m"	"m"	30	"aa"	150.5	730	1089	2385	"ɑ"
"297"	"m"	"m"	30	"ao"	164	620	895	2340	"ɔ"
"298"	"m"	"m"	30	"uh"	178	449	980	2190	"ʊ"
"299"	"m"	"m"	30	"uw"	182.5	306.5	792.5	2170	"u"
"300"	"m"	"m"	30	"er"	163	489	1340	1610	"ɚ"
"301"	"m"	"m"	31	"iy"	120	306	2365	2950	"i"
"302"	"m"	"m"	31	"ih"	140	490	1980	2610	"ɪ"
"303"	"m"	"m"	31	"eh"	118	597.5	1935	2580	"ɛ"
"304"	"m"	"m"	31	"ae"	113	690.5	1622	2525	"æ"
"305"	"m"	"m"	31	"ah"	117.5	646.5	1236.5	2495	"ʌ"
"306"	"m"	"m"	31	"aa"	109.5	741	1164	2660	"ɑ"
"307"	"m"	"m"	31	"ao"	112	522.5	785.5	2435	"ɔ"
"308"	"m"	"m"	31	"uh"	117	468	1080	2230	"ʊ"
"309"	"m"	"m"	31	"uw"	124	347	980	2200	"u"
"310"	"m"	"m"	31	"er"	114.5	544	1361.5	1764	"ɚ"
"311"	"m"	"m"	32	"iy"	139.5	279	2435	3125	"i"
"312"	"m"	"m"	32	"ih"	137	361	2175	2625	"ɪ"
"313"	"m"	"m"	32	"eh"	133	568.5	1900	2355	"ɛ"
"314"	"m"	"m"	32	"ae"	127.5	656.5	1779	2400	"æ"
"315"	"m"	"m"	32	"ah"	131	612.5	1341	2215	"ʌ"
"316"	"m"	"m"	32	"aa"	125	724	1125	2150	"ɑ"
"317"	"m"	"m"	32	"ao"	120	662.5	937.5	2215	"ɔ"
"318"	"m"	"m"	32	"uh"	145	420	1110	2050	"ʊ"
"319"	"m"	"m"	32	"uw"	129	335	949	2150	"u"
"320"	"m"	"m"	32	"er"	135.5	519	1492.5	1845	"ɚ"
"321"	"m"	"m"	33	"iy"	146.5	293	2415	2860	"i"
"322"	"m"	"m"	33	"ih"	142.5	403.5	2037.5	2560	"ɪ"
"323"	"m"	"m"	33	"eh"	134.5	539	1961.5	2570	"ɛ"
"324"	"m"	"m"	33	"ae"	133	640	1806.5	2525	"æ"
"325"	"m"	"m"	33	"ah"	144.5	665	1256.5	2600	"ʌ"
"326"	"m"	"m"	33	"aa"	130.5	784	1142.5	2642.5	"ɑ"
"327"	"m"	"m"	33	"ao"	144	616.5	913	2525	"ɔ"
"328"	"m"	"m"	33	"uh"	164.5	491	1089.5	2363	"ʊ"
"329"	"m"	"m"	33	"uw"	160	320	960	2265	"u"
"330"	"m"	"m"	33	"er"	144	525.5	1309.5	1621.5	"ɚ"
"331"	"w"	"f"	34	"iy"	232	380	2715	3080	"i"
"332"	"w"	"f"	34	"ih"	219.5	439	2355	2940	"ɪ"
"333"	"w"	"f"	34	"eh"	190.5	560	2150	2960	"ɛ"
"334"	"w"	"f"	34	"ae"	196	830	1950	2830	"æ"
"335"	"w"	"f"	34	"ah"	213.5	667.5	1200	3175	"ʌ"
"336"	"w"	"f"	34	"aa"	199	855	1220	2875	"ɑ"
"337"	"w"	"f"	34	"ao"	203.5	635	915	3215	"ɔ"
"338"	"w"	"f"	34	"uh"	232.5	430	955	3115	"ʊ"
"339"	"w"	"f"	34	"uw"	223	437.5	882.5	2930	"u"
"340"	"w"	"f"	34	"er"	200	530	1800	2100	"ɚ"
"341"	"w"	"f"	35	"iy"	232.5	280	2730	3450	"i"
"342"	"w"	"f"	35	"ih"	232.5	435	2450	3230	"ɪ"
"343"	"w"	"f"	35	"eh"	215	625	2300	3185	"ɛ"
"344"	"w"	"f"	35	"ae"	207.5	780	2150	2960	"æ"
"345"	"w"	"f"	35	"ah"	232.5	780	1350	2865	"ʌ"
"346"	"w"	"f"	35	"aa"	202	865	1170	2735	"ɑ"
"347"	"w"	"f"	35	"ao"	225	450	890	2840	"ɔ"
"348"	"w"	"f"	35	"uh"	247.5	495	1020	2735	"ʊ"
"349"	"w"	"f"	35	"uw"	247.5	405	900	2710	"u"
"350"	"w"	"f"	35	"er"	217.5	430	1580	1750	"ɚ"
"351"	"w"	"f"	36	"iy"	212.5	285	2665	3130	"i"
"352"	"w"	"f"	36	"ih"	211	420	2260	2965	"ɪ"
"353"	"w"	"f"	36	"eh"	214	670	2060	2900	"ɛ"
"354"	"w"	"f"	36	"ae"	208	990	1815	2820	"æ"
"355"	"w"	"f"	36	"ah"	206.5	745	1430	2735	"ʌ"
"356"	"w"	"f"	36	"aa"	207.5	910	1270	2670	"ɑ"
"357"	"w"	"f"	36	"ao"	206.5	620	870	2705	"ɔ"
"358"	"w"	"f"	36	"uh"	210.5	430	1050	2760	"ʊ"
"359"	"w"	"f"	36	"uw"	215	355	805	2620	"u"
"360"	"w"	"f"	36	"er"	210	560	1505	1810	"ɚ"
"361"	"w"	"f"	37	"iy"	216	282	2840	3130	"i"
"362"	"w"	"f"	37	"ih"	207	420	2400	2980	"ɪ"
"363"	"w"	"f"	37	"eh"	208.5	560	2170	2770	"ɛ"
"364"	"w"	"f"	37	"ae"	205	830	1985	2660	"æ"
"365"	"w"	"f"	37	"ah"	204.5	678	1203	2900	"ʌ"
"366"	"w"	"f"	37	"aa"	195	780	1170	2885	"ɑ"
"367"	"w"	"f"	37	"ao"	203.5	560	765	2900	"ɔ"
"368"	"w"	"f"	37	"uh"	214	430	1037.5	2640	"ʊ"
"369"	"w"	"f"	37	"uw"	216.5	305	845	2525	"u"
"370"	"w"	"f"	37	"er"	202.5	425	1770	1945	"ɚ"
"371"	"w"	"f"	38	"iy"	181	344	2835	3230	"i"
"372"	"w"	"f"	38	"ih"	205	410	2610	3100	"ɪ"
"373"	"w"	"f"	38	"eh"	190	559	2435	3175	"ɛ"
"374"	"w"	"f"	38	"ae"	173	824	2050	2920	"æ"
"375"	"w"	"f"	38	"ah"	191.5	736.5	1374	2800	"ʌ"
"376"	"w"	"f"	38	"aa"	176.5	732.5	1215	2795	"ɑ"
"377"	"w"	"f"	38	"ao"	176	548	905	2850	"ɔ"
"378"	"w"	"f"	38	"uh"	206	472	1050	2725	"ʊ"
